card_id,card_zh_cnt,card_lb_cnt,card_xz_cnt,card_brand_cnt,card_product_cnt,card_zh,card_lb,card_xz,card_brand,card_product,flow_mtcnt,flow_daycnt,flowcnt_t,flowcnt_6,flowcnt_3,min_dtseg,max_dtseg,flowcnt_wkd,flowcnt_wke,top_trdtz,n_trdtz,top_trdwkd,n_trdwkd,succ_cnt1,succ_cnt6,succ_cnt3,succ_late,fail_late,cash_cnt1,cash_cnt6,cash_cnt3,cash_amt1,cash_amt6,cash_amt3,cashmax_amt1,cashmax_amt6,cashmax_amt3,cons_cnt1,cons_cnt6,cons_cnt3,cons_amt1,cons_amt6,cons_amt3,consmax_amt1,consmax_amt6,consmax_amt3,consnigt_cnt1,consnigt_cnt6,consnigt_cnt3,transout_cnt1,transout_cnt6,transout_cnt3,transout_amt1,transout_amt6,transout_amt3,transoutmax_amt1,transoutmax_amt6,transoutmax_amt3,transin_cnt1,transin_cnt6,transin_cnt3,transin_amt1,transin_amt6,transin_amt3,transinmax_amt1,transinmax_amt6,transinmax_amt3,cre_cash_cnt,cre_cash_amt,kj_cnt,kj_amt,zx_cnt,zx_amt,trade_amt1,trade_amt6,trade_amt3,consnigt_amt1,consnigt_amt6,consnigt_amt3,arg_cashamt,arg_consamt,avg_nigconsamt,arg_tout_amt,arg_crecash_amt,arg_zx_amt,arg_cashzb_cnt,arg_conszb_cnt,arg_nigconszb_cnt,transoutzb_cnt,cre_cashzb_cnt,zxzb_cnt,arg_cashzb_amt,arg_conszb_amt,arg_nigconszb_amt,transoutzb_amt,cre_cashzb_amt,zxzb_amt,flag
2565,1,1,1,1,1,1,1,1,12,0,6,13,18,18,4,14,173,11,7,dusk,8,1,5,3,16,7,0,3,0,0,0,0,0,0,0,0,0,3,15,7,117.8,1448.1,520.7,50,309.1,250,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.8,1448.09,520.7,0,100,0,0,96.54,100,0,0,0,0,0.833333,0.055555,0,0,0,0,1.000006,0.069056,0,0,0,1
2568,1,1,1,1,1,1,1,1,12,0,6,15,38,38,15,5,165,16,22,morn,14,6,10,6,14,11,0,0,1,2,2,1600,2600,2600,1600,1600,1600,5,11,8,13791.09,33864.36,26173.27,6000,7000,7000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2691.09,15391.09,36464.35,28773.26,6000,6000,6000,13000,3078.57,6000,0,0,2691.09,0.052631,0.289473,0.026315,0,0,0.026315,0.071302,0.928697,0.164544,0,0,0.073800,1
2569,1,1,2,1,1,1,1,1,12,0,6,9,17,17,10,5,160,13,4,noon,8,3,6,5,13,9,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,29289.28,14149.28,0,8030,7149.28,0,1,1,4,4,4,8400,8400,8400,2200,2200,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29289.28,8399.99,37689.25,22549.25,0,7149.28,7149.28,0,4881.54,7149.28,2100,0,4881.546,0,0.352941,0.058823,0.235294,0,0.352941,0,0.777125,0.189690,0.222875,0,0.777125,1
257,1,1,1,1,1,1,1,2,1,0,6,15,25,25,10,18,178,14,11,aftr,10,4,11,4,23,9,0,0,0,0,0,0,0,0,0,0,0,4,17,9,62000,184406.5,105887.1,30000,36090,36090,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,187971.5,105887.1,0,607.47,607.47,0,10847.44,303.735,0,0,0,0,0.68,0.08,0,0,0,0,0.981034,0.003231,0,0,0,1
2570,1,1,1,1,1,3,1,2,1,0,2,4,8,8,8,11,76,3,5,dusk,4,6,4,1,7,7,0,0,0,0,0,0,0,0,0,0,0,1,7,7,3150,22006,22006,3150,17530,17530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150,22006,22006,0,0,0,0,3143.71,0,0,0,0,0,0.875,0,0,0,0,0,1,0,0,0,0,1
2571,1,1,1,1,1,1,1,2,12,0,6,19,35,35,12,6,164,15,20,dusk,12,7,10,2,13,9,0,0,0,0,0,0,0,0,0,0,0,1,11,8,908,9461.84,5463.3,908,3980,3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907.99,9461.82,5463.29,0,0,0,0,860.16,0,0,0,0,0,0.314285,0,0,0,0,0,1.000002,0,0,0,0,1
2573,1,1,1,1,1,1,1,1,12,0,6,24,35,35,18,15,178,24,11,morn,11,2,11,10,32,21,0,0,3,7,7,5000,13600,13600,2000,3000,3000,3,12,8,5700,35736,15436,3700,20000,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10699.96,49535.89,29035.94,0,0,0,19428.5,2978,0,0,0,0,0.2,0.342857,0,0,0,0,0.274548,0.721416,0,0,0,0,1
2577,1,1,1,1,1,1,1,1,12,0,5,19,51,51,31,25,177,30,21,noon,18,3,13,16,48,41,0,1,3,8,6,2800,15800,11800,1000,5000,5000,7,26,25,28930,111391,111105,6000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31729.94,127190.8,122904.9,0,0,0,19750,4284.26,0,0,0,0,0.156862,0.509803,0,0,0,0,0.124222,0.875778,0,0,0,0,1
2578,1,1,1,1,1,1,1,2,4,0,6,62,92,92,44,1,178,42,50,even,26,7,18,29,90,57,0,0,0,0,0,0,0,0,0,0,0,22,77,48,86121,233703.8,182761.8,50000,50000,50000,3,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13807.93,86144.94,235304.7,182866.7,1439,4741,2590,0,3035.11,431,0,0,1062.148,0,0.836956,0.119565,0,0,0.141304,0,0.993196,0.020148,0,0,0.058681,1
258,1,1,1,1,1,1,1,2,1,0,4,5,8,8,7,13,101,5,3,nigt,4,4,5,5,7,7,0,0,1,1,1,2000,2000,2000,2000,2000,2000,2,4,4,657,4167,4167,357,3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,0,0,0,0,2656.98,6166.98,6166.98,0,0,0,20000,1041.75,0,0,2000,0,0.125,0.5,0,0,0.125,0,0.324307,0.675695,0,0,0.324307,0,1
